filename,path,author,title,year,npv_hits,eps_hits,score,top_npv_terms,top_eps_terms
Holden - Spreadsheet Modeling in Corporate Finance (Book 2002).pdf,Textbooks/Practitioner/Corporate Finance/Holden - Spreadsheet Modeling in Corporate Finance (Book 2002).pdf,Holden,Spreadsheet Modeling in Corporate Finance,2002,644,99,0.7335,"present value(226), npv(178), net present value(63), option pricing(63), black-scholes(60)","intrinsic value(25), per share(22), earnings per share(14), roe(14), dividend yield(10)"
Hulme - The Relation of Valuation to Investments (Book 1919).pdf,Textbooks/Practitioner/Corporate Finance/Hulme - The Relation of Valuation to Investments (Book 1919).pdf,Hulme,The Relation of Valuation to Investments,1919,1,2,-0.3333,present value(1),earning power(2)
Hunt - Financial Analysis in Capital Budgeting (Book 1964).pdf,Textbooks/Practitioner/Corporate Finance/Hunt - Financial Analysis in Capital Budgeting (Book 1964).pdf,Hunt,Financial Analysis in Capital Budgeting,1964,67,137,-0.3431,"present value(41), tax shield(9), opportunity cost(9), net present value(5), discounted cash flow(1)","dilutive/dilution(42), rate of return(29), per share(20), earnings per share(15), debt capacity(12)"
Hunt - Financial Management Cases and Readings (Book 1968).pdf,Textbooks/Practitioner/Corporate Finance/Hunt - Financial Management Cases and Readings (Book 1968).pdf,Hunt,Financial Management Cases and Readings,1968,318,557,-0.2731,"present value(166), net present value(31), discounted cash flow(24), terminal value(23), opportunity cost(21)","per share(144), rate of return(141), book value(49), earnings per share(42), debt capacity(42)"
"Hunt, Andrews - Case Problems in Finance (Book 1962).pdf","Textbooks/Practitioner/Corporate Finance/Hunt, Andrews - Case Problems in Finance (Book 1962).pdf","Hunt, Andrews",Case Problems in Finance,1962,0,144,-1.0,,"per share(79), par value(33), book value(9), dilutive/dilution(6), earning power(6)"
"Hunt, Williams, Donaldson - Basic Business Finance (Book 1966).pdf","Textbooks/Practitioner/Corporate Finance/Hunt, Williams, Donaldson - Basic Business Finance (Book 1966).pdf","Hunt, Williams, Donaldson",Basic Business Finance,1966,161,589,-0.5707,"present value(76), terminal value(27), tax shield(19), opportunity cost(15), net present value(13)","per share(183), dilutive/dilution(54), par value(54), rate of return(54), earnings per share(47)"
"Husband, Dockeray - Modern Corporation Finance (Book 1942).pdf","Textbooks/Practitioner/Corporate Finance/Husband, Dockeray - Modern Corporation Finance (Book 1942).pdf","Husband, Dockeray",Modern Corporation Finance,1942,1,173,-0.9885,present value(1),"per share(75), book value(34), par value(31), dilutive/dilution(7), trading on the equity(6)"
Hutchinson - Corporate Finance Principles of Investment Financing and Valuation (Book 1995).pdf,Textbooks/Practitioner/Corporate Finance/Hutchinson - Corporate Finance Principles of Investment Financing and Valuation (Book 1995).pdf,Hutchinson,Corporate Finance Principles of Investment Financing and Valuation,1995,1490,833,0.2828,"npv(451), present value(199), tax shield(85), opportunity cost(82), agency cost(73)","rate of return(213), eps(129), per share(95), roe(75), par value(44)"
Hutchison - The Strategy of Corporate Financing (Book 1971).pdf,Textbooks/Practitioner/Corporate Finance/Hutchison - The Strategy of Corporate Financing (Book 1971).pdf,Hutchison,The Strategy of Corporate Financing,1971,9,233,-0.9256,"weighted average cost of capital(5), present value(2), discounted cash flow(1), expected return(1)","per share(99), dilutive/dilution(45), price-earnings(34), book value(19), rate of return(8)"
Ignatius - The Financing of Public Service Corporations (Book 1918).pdf,Textbooks/Practitioner/Corporate Finance/Ignatius - The Financing of Public Service Corporations (Book 1918).pdf,Ignatius,The Financing of Public Service Corporations,1918,1,1,0.0,proposition i(1),accretive/accretion(1)
Investment Bankers Assoc - Draft of a Bill to Regulate the Sale of Securities (Book 1913).pdf,Textbooks/Practitioner/Corporate Finance/Investment Bankers Assoc - Draft of a Bill to Regulate the Sale of Securities (Book 1913).pdf,Investment Bankers Assoc,Draft of a Bill to Regulate the Sale of Securities,1913,0,0,0.0,,
Jamison - Finance (Book 1927).pdf,Textbooks/Practitioner/Corporate Finance/Jamison - Finance (Book 1927).pdf,Jamison,Finance,1927,0,37,-1.0,,"par value(14), book value(11), per share(5), earning power(5), margin of safety(1)"
Jay - Corporation Man (Book 1972).pdf,Textbooks/Practitioner/Corporate Finance/Jay - Corporation Man (Book 1972).pdf,Jay,Corporation Man,1972,3,5,-0.25,pecking order(3),"book value(3), earnings per share(1), per share(1)"
Jean - The Analytical Theory of Finance (Book 1970).pdf,Textbooks/Practitioner/Corporate Finance/Jean - The Analytical Theory of Finance (Book 1970).pdf,Jean,The Analytical Theory of Finance,1970,570,232,0.4214,"present value(279), net present value(136), terminal value(60), expected return(36), modigliani and miller(21)","rate of return(139), per share(42), capitalization rate(20), earnings per share(8), return on equity(7)"
Jensen - Problems of Public Finance (Book 1924).pdf,Textbooks/Practitioner/Corporate Finance/Jensen - Problems of Public Finance (Book 1924).pdf,Jensen,Problems of Public Finance,1924,0,0,0.0,,
Johnson - Cyclopedia of Commerce Accountancy Business Administration (Book 1911).pdf,Textbooks/Practitioner/Corporate Finance/Johnson - Cyclopedia of Commerce Accountancy Business Administration (Book 1911).pdf,Johnson,Cyclopedia of Commerce Accountancy Business Administration,1911,9,16,-0.28,present worth(9),"roe(10), par value(5), per share(1)"
Johnson - Determining Cost of Capital the Key to Firm Value (Book 1999).pdf,Textbooks/Practitioner/Corporate Finance/Johnson - Determining Cost of Capital the Key to Firm Value (Book 1999).pdf,Johnson,Determining Cost of Capital the Key to Firm Value,1999,447,154,0.4875,"present value(100), expected return(94), net present value(61), wacc(51), portfolio theory(35)","rate of return(81), per share(21), book value(18), par value(13), dividend yield(12)"
Johnson - Exploring Corporate Strategy (Book 1999).pdf,Textbooks/Practitioner/Corporate Finance/Johnson - Exploring Corporate Strategy (Book 1999).pdf,Johnson,Exploring Corporate Strategy,1999,21,36,-0.2632,"present value(5), dcf(5), net present value(4), npv(2), discounted cash flow(2)","return on capital(11), per share(9), payback period(6), dilutive/dilution(3), earnings per share(1)"
Johnson - Financial Management (Book 1962).pdf,Textbooks/Practitioner/Corporate Finance/Johnson - Financial Management (Book 1962).pdf,Johnson,Financial Management,1962,125,578,-0.6444,"present value(98), time value of money(12), opportunity cost(4), sunk cost(3), weighted average cost of capital(3)","rate of return(145), per share(142), earning power(68), par value(43), book value(38)"
Johnson - Financial Management (Book 1966).pdf,Textbooks/Practitioner/Corporate Finance/Johnson - Financial Management (Book 1966).pdf,Johnson,Financial Management,1966,194,651,-0.5408,"present value(132), net present value(23), time value of money(13), tax shield(7), opportunity cost(6)","per share(166), rate of return(166), earning power(71), par value(46), book value(41)"
Johnson - Making Capital Budgeting Decisions- Maximizing the Value of the Firm (Book 1999).pdf,Textbooks/Practitioner/Corporate Finance/Johnson - Making Capital Budgeting Decisions- Maximizing the Value of the Firm (Book 1999).pdf,Johnson,Making Capital Budgeting Decisions- Maximizing the Value of the Firm,1999,599,256,0.4012,"present value(257), net present value(117), npv(114), tax shield(36), time value of money(32)","rate of return(149), payback period(36), book value(34), accounting rate of return(15), per share(7)"
Johnson - The Attack on Corporate America the Corporate Issues (Book 1978).pdf,Textbooks/Practitioner/Corporate Finance/Johnson - The Attack on Corporate America the Corporate Issues (Book 1978).pdf,Johnson,The Attack on Corporate America the Corporate Issues,1978,51,30,0.2593,"efficient market(30), present value(11), random walk(6), opportunity cost(1), expected return(1)","rate of return(17), book value(5), average rate of return(3), per share(2), dilutive/dilution(1)"
Jome - Corporation Finance (Book 1948).pdf,Textbooks/Practitioner/Corporate Finance/Jome - Corporation Finance (Book 1948).pdf,Jome,Corporation Finance,1948,26,698,-0.9282,"present value(24), expected return(1), discounted value(1)","par value(247), per share(200), book value(99), earnings per share(48), rate of return(40)"
Jordan - Business Forecasting (Book 1921).pdf,Textbooks/Practitioner/Corporate Finance/Jordan - Business Forecasting (Book 1921).pdf,Jordan,Business Forecasting,1921,1,17,-0.8889,present value(1),"earning power(9), par value(4), rate of return(4)"
Joy - Introduction to Financial Management (Book 1983).pdf,Textbooks/Practitioner/Corporate Finance/Joy - Introduction to Financial Management (Book 1983).pdf,Joy,Introduction to Financial Management,1983,571,855,-0.1992,"npv(170), present value(157), net present value(51), time value of money(33), capm(26)","rate of return(271), per share(270), eps(131), return on equity(38), par value(38)"
Kahn - High Finance (Book 1916).pdf,Textbooks/Practitioner/Corporate Finance/Kahn - High Finance (Book 1916).pdf,Kahn,High Finance,1916,0,0,0.0,,
"Kennedy, MacCormac, Telley - Financial Management (Book 1995).pdf","Textbooks/Practitioner/Corporate Finance/Kennedy, MacCormac, Telley - Financial Management (Book 1995).pdf","Kennedy, MacCormac, Telley",Financial Management,1995,215,230,-0.0337,"present value(63), net present value(24), npv(19), tax shield(12), risk premium(12)","rate of return(74), per share(49), earnings per share(20), payback period(12), earnings yield(10)"
Kent - Corporate Financial Management (Book 1960).pdf,Textbooks/Practitioner/Corporate Finance/Kent - Corporate Financial Management (Book 1960).pdf,Kent,Corporate Financial Management,1960,11,522,-0.9587,"present value(8), expected return(1), contingent claim(1), present worth(1)","par value(210), dilutive/dilution(68), book value(58), per share(53), rate of return(50)"
Ketz - Across Industry Analysis of Financial Ratios Comparabilities (Book 1990).pdf,Textbooks/Practitioner/Corporate Finance/Ketz - Across Industry Analysis of Financial Ratios Comparabilities (Book 1990).pdf,Ketz,Across Industry Analysis of Financial Ratios Comparabilities,1990,2,0,1.0,"systematic risk(1), expected return(1)",
Kimball - Corporate Finance (Book 1962).pdf,Textbooks/Practitioner/Corporate Finance/Kimball - Corporate Finance (Book 1962).pdf,Kimball,Corporate Finance,1962,6,120,-0.9048,"contingent claim(3), present worth(2), present value(1)","par value(59), earning power(19), trading on the equity(9), dilutive/dilution(8), book value(8)"
Kimball - Principles of Corporate Finance (Book 1939).pdf,Textbooks/Practitioner/Corporate Finance/Kimball - Principles of Corporate Finance (Book 1939).pdf,Kimball,Principles of Corporate Finance,1939,8,200,-0.9231,"contingent claim(3), present worth(3), present value(2)","par value(104), earning power(31), book value(20), trading on the equity(11), dilutive/dilution(9)"
King - The theory of Finance (Book 1882).pdf,Textbooks/Practitioner/Corporate Finance/King - The theory of Finance (Book 1882).pdf,King,The theory of Finance,1882,58,0,1.0,present value(58),
Kirzner - An Essay on Capital (Book 1966).pdf,Textbooks/Practitioner/Corporate Finance/Kirzner - An Essay on Capital (Book 1966).pdf,Kirzner,An Essay on Capital,1966,2,1,0.3333,"perfect capital markets(1), opportunity cost(1)",rate of return(1)
"Koller, Goedhart, Wessels - Valuation - Measuring and Managing the Value of Companies (Book 2020).pdf","Textbooks/Practitioner/Corporate Finance/Koller, Goedhart, Wessels - Valuation - Measuring and Managing the Value of Companies (Book 2020).pdf","Koller, Goedhart, Wessels",Valuation - Measuring and Managing the Value of Companies,2020,1863,811,0.3934,"wacc(290), dcf(275), present value(217), risk premium(140), tax shield(125)","ebitda(101), per share(98), eps(92), book value(82), return on capital(76)"
Kristein - Corporation Finance (Book 1969).pdf,Textbooks/Practitioner/Corporate Finance/Kristein - Corporation Finance (Book 1969).pdf,Kristein,Corporation Finance,1969,10,166,-0.8864,"present worth(7), efficient market(2), risk premium(1)","per share(49), par value(44), book value(32), rate of return(15), earnings per share(6)"
Kristy - Finance Without Fear (Book 1984).pdf,Textbooks/Practitioner/Corporate Finance/Kristy - Finance Without Fear (Book 1984).pdf,Kristy,Finance Without Fear,1984,63,171,-0.4615,"present value(28), npv(20), net present value(9), time value of money(4), discounted cash flow(1)","roe(32), rate of return(27), per share(26), return on equity(21), par value(19)"
Kuznets - Capital in the American Economy (Book 1961).pdf,Textbooks/Practitioner/Corporate Finance/Kuznets - Capital in the American Economy (Book 1961).pdf,Kuznets,Capital in the American Economy,1961,4,4,0.0,"expected return(2), dcf(1), opportunity cost(1)","roe(2), accretive/accretion(1), earning power(1)"
"Kyle, Todorov - The Cumulant Risk Premium (Book 2023).pdf","Textbooks/Practitioner/Corporate Finance/Kyle, Todorov - The Cumulant Risk Premium (Book 2023).pdf","Kyle, Todorov",The Cumulant Risk Premium,2023,154,7,0.913,"risk premium(62), capm(24), factor model(20), black-scholes(17), portfolio theory(7)",p/e ratio(7)
Laird - The Idea of Value (Book 1929).pdf,Textbooks/Practitioner/Corporate Finance/Laird - The Idea of Value (Book 1929).pdf,Laird,The Idea of Value,1929,0,12,-1.0,,intrinsic value(12)
Lasher - Practical Financial Management (Book 2008).pdf,Textbooks/Practitioner/Corporate Finance/Lasher - Practical Financial Management (Book 2008).pdf,Lasher,Practical Financial Management,2008,1572,896,0.2739,"npv(441), present value(276), discounted cash flow(101), wacc(95), risk premium(88)","eps(238), per share(153), roe(105), book value(97), rate of return(54)"
Levy - Principles of Financial Management (Book 1988).pdf,Textbooks/Practitioner/Corporate Finance/Levy - Principles of Financial Management (Book 1988).pdf,Levy,Principles of Financial Management,1988,1301,822,0.2256,"npv(392), present value(325), expected return(98), capm(81), wacc(80)","eps(195), per share(149), rate of return(139), par value(65), earnings per share(52)"
Lindsay - Corporate Organization and Accounts (Book 1935).pdf,Textbooks/Practitioner/Corporate Finance/Lindsay - Corporate Organization and Accounts (Book 1935).pdf,Lindsay,Corporate Organization and Accounts,1935,0,295,-1.0,,"par value(181), per share(53), book value(51), earnings per share(5), rate of return(3)"
Lindsay - Financial Management an Analytical Approach (Book 1967).pdf,Textbooks/Practitioner/Corporate Finance/Lindsay - Financial Management an Analytical Approach (Book 1967).pdf,Lindsay,Financial Management an Analytical Approach,1967,204,440,-0.3665,"present value(95), expected return(40), opportunity cost(29), net present value(19), modigliani and miller(6)","rate of return(125), per share(104), eps(40), earnings per share(31), capitalization rate(27)"
Little - A Critique of Welfare Economics (Book 1950).pdf,Textbooks/Practitioner/Corporate Finance/Little - A Critique of Welfare Economics (Book 1950).pdf,Little,A Critique of Welfare Economics,1950,2,2,0.0,"present value(1), discounted value(1)","eps(1), relative valuation(1)"
Lorenz-Fife - Financing Your Business (Book 1997).pdf,Textbooks/Practitioner/Corporate Finance/Lorenz-Fife - Financing Your Business (Book 1997).pdf,Lorenz,Fife - Financing Your Business,1997,1,5,-0.6667,expected return(1),"book value(4), return on capital(1)"
Lough - Business Finance (Book 1905).pdf,Textbooks/Practitioner/Corporate Finance/Lough - Business Finance (Book 1905).pdf,Lough,Business Finance,1905,1,98,-0.9798,present worth(1),"par value(60), per share(9), rate of return(9), earning power(6), book value(6)"
Lough - Business Finance (Book 1917).pdf,Textbooks/Practitioner/Corporate Finance/Lough - Business Finance (Book 1917).pdf,Lough,Business Finance,1917,0,116,-1.0,,"par value(62), earning power(18), book value(9), rate of return(9), per share(8)"
Lough - Business Finance (Book 1918).pdf,Textbooks/Practitioner/Corporate Finance/Lough - Business Finance (Book 1918).pdf,Lough,Business Finance,1918,1,151,-0.9868,present worth(1),"par value(72), earning power(36), rate of return(11), per share(9), book value(9)"
Lough - Corporation Finance (Book 1914).pdf,Textbooks/Practitioner/Corporate Finance/Lough - Corporation Finance (Book 1914).pdf,Lough,Corporation Finance,1914,0,104,-1.0,,"par value(69), earning power(14), per share(10), book value(6), earning capacity(2)"
Lough - Corporation Finance (Book 1915).pdf,Textbooks/Practitioner/Corporate Finance/Lough - Corporation Finance (Book 1915).pdf,Lough,Corporation Finance,1915,0,104,-1.0,,"par value(68), earning power(16), per share(9), book value(6), earning capacity(2)"
Lowenstein - Sense and Nonsense in Corporate Finance (Book 1991).pdf,Textbooks/Practitioner/Corporate Finance/Lowenstein - Sense and Nonsense in Corporate Finance (Book 1991).pdf,Lowenstein,Sense and Nonsense in Corporate Finance,1991,130,133,-0.0114,"capm(52), efficient market(15), capital asset pricing(11), expected return(11), present value(7)","per share(25), price-earnings(19), book value(17), rate of return(13), return on equity(12)"
Lumby - Corporate Finance Theory and Practice (Book 2011).pdf,Textbooks/Practitioner/Corporate Finance/Lumby - Corporate Finance Theory and Practice (Book 2011).pdf,Lumby,Corporate Finance Theory and Practice,2011,2211,352,0.7253,"npv(700), present value(261), capm(152), wacc(149), expected return(142)","rate of return(108), per share(56), intrinsic value(47), debt capacity(39), eps(22)"
Lyneis - Corporate planning and policy design - A System Dynamics Approach (Book 1980).pdf,Textbooks/Practitioner/Corporate Finance/Lyneis - Corporate planning and policy design - A System Dynamics Approach (Book 1980).pdf,Lyneis,Corporate planning and policy design - A System Dynamics Approach,1980,15,143,-0.8101,"risk premium(11), present value(4)","return on equity(39), per share(27), earnings per share(17), roe(17), price-earnings(13)"
Lyon - Capitalization- A Book on Corporation Finance (Book 1912).pdf,Textbooks/Practitioner/Corporate Finance/Lyon - Capitalization- A Book on Corporation Finance (Book 1912).pdf,Lyon,Capitalization- A Book on Corporation Finance,1912,5,83,-0.8864,present value(5),"trading on the equity(28), par value(27), earning power(14), return on capital(12), margin of safety(1)"
Lyon - Corporation Finance (Book 1912).pdf,Textbooks/Practitioner/Corporate Finance/Lyon - Corporation Finance (Book 1912).pdf,Lyon,Corporation Finance,1912,5,84,-0.8876,present value(5),"trading on the equity(29), par value(27), earning power(14), return on capital(12), margin of safety(1)"
Lyon - Corporation Finance (Book 1916).pdf,Textbooks/Practitioner/Corporate Finance/Lyon - Corporation Finance (Book 1916).pdf,Lyon,Corporation Finance,1916,6,110,-0.8966,present value(6),"par value(44), trading on the equity(29), earning power(19), return on capital(12), margin of safety(3)"
Lyon - Corporations and Their Financing (Book 1938).pdf,Textbooks/Practitioner/Corporate Finance/Lyon - Corporations and Their Financing (Book 1938).pdf,Lyon,Corporations and Their Financing,1938,8,252,-0.9385,"present value(4), present worth(3), discounted value(1)","par value(171), per share(53), return on capital(7), trading on the equity(6), earning power(6)"
Madura - Introduction to Financial Management (Book 1988).pdf,Textbooks/Practitioner/Corporate Finance/Madura - Introduction to Financial Management (Book 1988).pdf,Madura,Introduction to Financial Management,1988,1247,1244,0.0012,"present value(357), npv(272), expected return(128), systematic risk(62), net present value(58)","rate of return(260), per share(224), par value(191), eps(176), roe(71)"
Mao - Quantitative Methods for Financial Analysis (Book 1987).pdf,Textbooks/Practitioner/Corporate Finance/Mao - Quantitative Methods for Financial Analysis (Book 1987).pdf,Mao,Quantitative Methods for Financial Analysis,1987,343,157,0.372,"present value(94), expected return(81), option pricing(42), factor model(33), black-scholes(26)","rate of return(94), per share(19), capitalization rate(12), price-earnings(10), par value(6)"
Marsh - Mastering Financial Management Strategic Financial Markets (Book 2009).pdf,Textbooks/Practitioner/Corporate Finance/Marsh - Mastering Financial Management Strategic Financial Markets (Book 2009).pdf,Marsh,Mastering Financial Management Strategic Financial Markets,2009,356,260,0.1558,"present value(77), npv(61), discounted cash flow(29), net present value(27), wacc(19)","per share(46), rate of return(45), eps(38), earnings per share(23), price-earnings(15)"
Marshall - Corporation Finance (Book 2016).pdf,Textbooks/Practitioner/Corporate Finance/Marshall - Corporation Finance (Book 2016).pdf,Marshall,Corporation Finance,2016,1652,991,0.2501,"present value(303), expected return(243), npv(202), net present value(104), capm(79)","rate of return(247), per share(158), book value(87), roe(80), payback period(65)"
Marshall - Principles of Economics (Book 1895).pdf,Textbooks/Practitioner/Corporate Finance/Marshall - Principles of Economics (Book 1895).pdf,Marshall,Principles of Economics,1895,15,9,0.25,"present value(9), discounted value(6)","earning power(4), per share(3), intrinsic value(1), rate of return(1)"
Martin - Basic Financial Management (Book 1979).pdf,Textbooks/Practitioner/Corporate Finance/Martin - Basic Financial Management (Book 1979).pdf,Martin,Basic Financial Management,1979,764,1291,-0.2564,"present value(387), net present value(110), npv(55), expected return(42), discounted cash flow(23)","rate of return(483), per share(255), earnings per share(134), par value(85), eps(62)"
Massaro - Corporate Capital Structures and Financing Patterns (Book 1977).pdf,Textbooks/Practitioner/Corporate Finance/Massaro - Corporate Capital Structures and Financing Patterns (Book 1977).pdf,Massaro,Corporate Capital Structures and Financing Patterns,1977,0,9,-1.0,,"coverage ratio(3), earnings per share(2), per share(2), return on capital(1), rate of return(1)"
Masson - Financial Instruments and Institutions a Case Book (Book 1938).pdf,Textbooks/Practitioner/Corporate Finance/Masson - Financial Instruments and Institutions a Case Book (Book 1938).pdf,Masson,Financial Instruments and Institutions a Case Book,1938,6,147,-0.9216,present worth(6),"per share(54), par value(47), book value(32), rate of return(4), dilutive/dilution(3)"
"Masson, Stratton - Problems in Corporation Finance (Book 1935).pdf","Textbooks/Practitioner/Corporate Finance/Masson, Stratton - Problems in Corporation Finance (Book 1935).pdf","Masson, Stratton",Problems in Corporation Finance,1935,0,172,-1.0,,"par value(77), per share(65), book value(18), earning power(4), earnings per share(3)"
Masulis - The Debt-Equity Choice (Book 1988).pdf,Textbooks/Practitioner/Corporate Finance/Masulis - The Debt-Equity Choice (Book 1988).pdf,Masulis,The Debt-Equity Choice,1988,141,29,0.6588,"agency cost(41), tax shield(32), information asymmetry(10), signaling model(10), expected return(8)","optimal capital structure(11), dilutive/dilution(7), book value(5), debt capacity(3), rate of return(2)"
"Mazer, Gitman - Instructor's Manual to Accompany Gitman Principles of M (Book 1988).pdf","Textbooks/Practitioner/Corporate Finance/Mazer, Gitman - Instructor's Manual to Accompany Gitman Principles of M (Book 1988).pdf","Mazer, Gitman",Instructor's Manual to Accompany Gitman Principles of M,1988,591,455,0.13,"npv(224), present value(144), expected return(44), net present value(37), weighted average cost of capital(22)","eps(127), per share(68), rate of return(64), book value(58), par value(27)"
McCaleb - Public Finances of Mexico (Book 1921).pdf,Textbooks/Practitioner/Corporate Finance/McCaleb - Public Finances of Mexico (Book 1921).pdf,McCaleb,Public Finances of Mexico,1921,0,2,-1.0,,"roe(1), intrinsic value(1)"
McCullough - Secrets of Rockstar CFOs (Book 2019).pdf,Textbooks/Practitioner/Corporate Finance/McCullough - Secrets of Rockstar CFOs (Book 2019).pdf,McCullough,Secrets of Rockstar CFOs,2019,0,0,0.0,,
McKinsey - Valuation Measuring and Managing the Value of Companies (Book 2015).pdf,Textbooks/Practitioner/Corporate Finance/McKinsey - Valuation Measuring and Managing the Value of Companies (Book 2015).pdf,McKinsey,Valuation Measuring and Managing the Value of Companies,2015,1496,484,0.5111,"dcf(251), wacc(214), free cash flow(207), present value(126), tax shield(98)","eps(66), per share(62), book value(61), ebitda(55), return on capital(42)"
"McKinsey, Meech - Controlling the Finances of a Business (Book 1923).pdf","Textbooks/Practitioner/Corporate Finance/McKinsey, Meech - Controlling the Finances of a Business (Book 1923).pdf","McKinsey, Meech",Controlling the Finances of a Business,1923,2,160,-0.9753,"present value(1), contingent claim(1)","par value(50), book value(32), margin of safety(24), rate of return(22), earning power(16)"
Mead - Trust Finance Genesis and Organization (Book 1920).pdf,Textbooks/Practitioner/Corporate Finance/Mead - Trust Finance Genesis and Organization (Book 1920).pdf,Mead,Trust Finance Genesis and Organization,1920,2,106,-0.963,present value(2),"earning power(58), par value(18), rate of return(13), per share(10), capitalization of earnings(3)"
Megginson - Corporate Finance Theory (Book 1997).pdf,Textbooks/Practitioner/Corporate Finance/Megginson - Corporate Finance Theory (Book 1997).pdf,Megginson,Corporate Finance Theory,1997,1685,354,0.6528,"capm(229), present value(157), expected return(145), npv(143), agency cost(117)","per share(134), rate of return(45), payback period(29), dividend yield(29), book value(20)"
"Megginson, Smart - Introduction to Corporation Finance Test Bank (Book 2009).pdf","Textbooks/Practitioner/Corporate Finance/Megginson, Smart - Introduction to Corporation Finance Test Bank (Book 2009).pdf","Megginson, Smart",Introduction to Corporation Finance Test Bank,2009,990,366,0.4602,"present value(151), npv(142), expected return(132), agency cost(64), tax shield(51)","per share(133), rate of return(66), book value(26), payback period(22), earnings per share(21)"
"Miller, Modigliani - Dividend Policy Growth and the Valuation of Shares (Book 1961).pdf","Textbooks/Practitioner/Corporate Finance/Miller, Modigliani - Dividend Policy Growth and the Valuation of Shares (Book 1961).pdf","Miller, Modigliani",Dividend Policy Growth and the Valuation of Shares,1961,13,4,0.5294,"modigliani and miller(4), capm(3), proposition i(2), mean-variance(2), capital asset pricing(1)","rate of return(3), capitalization rate(1)"
Moody - The Masters of Capital (Book 1919).pdf,Textbooks/Practitioner/Corporate Finance/Moody - The Masters of Capital (Book 1919).pdf,Moody,The Masters of Capital,1919,0,7,-1.0,,"earning power(4), par value(3)"
"Moody, John - The Truth About the Trusts (Book 1904).pdf","Textbooks/Practitioner/Corporate Finance/Moody, John - The Truth About the Trusts (Book 1904).pdf","Moody, John",The Truth About the Trusts,1904,3,292,-0.9797,present value(3),"par value(221), per share(52), intrinsic value(6), earning capacity(6), book value(5)"
"Moore, Shiskin - Indicators of Business Expansions and Contractions (Book 1967).pdf","Textbooks/Practitioner/Corporate Finance/Moore, Shiskin - Indicators of Business Expansions and Contractions (Book 1967).pdf","Moore, Shiskin",Indicators of Business Expansions and Contractions,1967,0,32,-1.0,,book value(32)
Morishima - Marx's Economics a Dual Theory of Value and Growth (Book 1973).pdf,Textbooks/Practitioner/Corporate Finance/Morishima - Marx's Economics a Dual Theory of Value and Growth (Book 1973).pdf,Morishima,Marx's Economics a Dual Theory of Value and Growth,1973,0,4,-1.0,,"eps(2), intrinsic value(2)"
Moulton - The Financial Organization of Society (Book 1921).pdf,Textbooks/Practitioner/Corporate Finance/Moulton - The Financial Organization of Society (Book 1921).pdf,Moulton,The Financial Organization of Society,1921,0,3,-1.0,,"roe(2), dilutive/dilution(1)"
"Mukherjee, Al Rahahleh - Capital Budgeting Techniques in Practice (Book 2011).pdf","Textbooks/Practitioner/Corporate Finance/Mukherjee, Al Rahahleh - Capital Budgeting Techniques in Practice (Book 2011).pdf","Mukherjee, Al Rahahleh",Capital Budgeting Techniques in Practice,2011,73,14,0.6782,"dcf(30), npv(28), wacc(6), capm(3), opportunity cost(2)","payback period(8), rate of return(4), book value(1), debt capacity(1)"
Murchison - Resale Prices Maintenance (Book 1919).pdf,Textbooks/Practitioner/Corporate Finance/Murchison - Resale Prices Maintenance (Book 1919).pdf,Murchison,Resale Prices Maintenance,1919,0,1,-1.0,,margin of safety(1)
Myers - Modern Developments in Financial Management (Book 1976).pdf,Textbooks/Practitioner/Corporate Finance/Myers - Modern Developments in Financial Management (Book 1976).pdf,Myers,Modern Developments in Financial Management,1976,1078,753,0.1775,"present value(373), expected return(121), net present value(102), systematic risk(68), npv(60)","rate of return(276), per share(77), debt capacity(72), dividend yield(70), payback period(58)"
"Myrick - Co-operative Finance an American Method for the American People, to Encourage (Book 1912).pdf","Textbooks/Practitioner/Corporate Finance/Myrick - Co-operative Finance an American Method for the American People, to Encourage (Book 1912).pdf",Myrick,"Co-operative Finance an American Method for the American People, to Encourage",1912,1,17,-0.8889,dcf(1),"par value(14), margin of safety(2), dilutive/dilution(1)"
Nader - Taming the Giant Corporation (Book 1976).pdf,Textbooks/Practitioner/Corporate Finance/Nader - Taming the Giant Corporation (Book 1976).pdf,Nader,Taming the Giant Corporation,1976,2,2,0.0,"perfect capital markets(1), present value(1)","per share(1), roe(1)"
Nelson - Readings in Corporation Finance (Book 1926).pdf,Textbooks/Practitioner/Corporate Finance/Nelson - Readings in Corporation Finance (Book 1926).pdf,Nelson,Readings in Corporation Finance,1926,3,250,-0.9763,"present value(2), contingent claim(1)","par value(146), earning power(38), per share(31), book value(13), earning capacity(6)"
Nevaer - Corporate Financial Planning and Management in a Deficit Economy (Book 1987).pdf,Textbooks/Practitioner/Corporate Finance/Nevaer - Corporate Financial Planning and Management in a Deficit Economy (Book 1987).pdf,Nevaer,Corporate Financial Planning and Management in a Deficit Economy,1987,47,34,0.1605,"systematic risk(13), expected return(9), time value of money(8), capm(4), capital asset pricing(3)","debt capacity(22), rate of return(10), earning power(1), adjusted earnings(1)"
